00 MotorolaMotoE5Plus 683 6,5 5,5 6 8,6 5,4
01 SamsungGalaxyNote9 2999 8,6 9,3 7,4 6,4 7,9
02 SamsungGalaxyA8 1664 8 8,6 6,6 7 6,8
03 SamsungGalaxyJ7Prime 1095 7,5 8,5 5,5 7,7 6,5
04 SamsungGalaxyS10 3999 9,2 9,4 8 6,8 9,6
05 AsusZenFone5 1563 8,2 8,5 6,9 7,4 7,4
06 AsusZenFoneMaxPlus(M2) 1148 7,9 8,5 6,6 8,1 7,1
07 AsusZenFoneMaxPro(M1) 1034 8 8,5 6,5 8,7 7,3
08 AsusZenFoneZoomS 999 7,9 8,5 7,2 8,7 7,4
09 AppleiPhoneXR 3869 8,7 8 7,8 5,9 9,3
10 AppleiPhoneX 4349 8,8 8,7 7,5 6 9,3
11 AppleiPhone8Plus 3431 8,8 8,5 7,5 6,3 9,3
12 AppleiPhone7 2375 8 7,4 6,9 6,3 7,9
13 PositivoTwistMiniS431 251 3,3 3,7 3,4 4,7 1,1
14 XiaomiMi8Lite 1155 8,2 8,5 7,2 8,6 7,5
15 XiaomiPocophoneF1 1712 8,8 8,5 7,1 8,4 9,4
16 XiaomiMI9 3299 9,3 8,5 9,6 7,4 9,6
17 MotorolaMotoG7Plus 1379 8,3 8,5 7,8 8,2 7,4
18 MotorolaMotoZ3Play 1499 8,1 8,5 6,9 7,4 7,1
19 MotorolaOne 1072 7,4 5,6 6,8 7,6 7,4 
20 MotorolaMotoE5Plus 683 6,5 5,5 6 8,6 5,4
21 SonyXperiaXZ3 4559 9 9,3 7,7 6,7 9,2
22 SonyXperiaXZ2Compact 2699 8,8 8,7 7,2 7,2 9,2
23 SonyXperiaXZ2 2950 8,7 8,6 7,2 6,9 9,2
24 SonyXperiaL2 1195 5,7 5,5 6,1 4,7 2,8
25 SonyXperiaE5 729 5,1 5,6 5,3 5 2,2
26 LGK12Plus 879 6,8 5,6 6,9 7,3 5,9
27 LGK11Plus 629 5,9 5,5 6,4 6,7 3,6
28 LGQNotePlus 1399 7,1 8,5 6,8 6,3 3,7
29 LGQ7Plus 1169 7 8,6 6,4 6,7 3,7
30 LGG7ThinQ 2654 9,1 9,4 7,6 8,2 9,3
31 HuaweiP30Lite 1999 8,3 8,6 8,5 7 6,8
32 HuaweiP30Pro 4399 8,7 8,5 10 6,1 7 
33 HuaweiP30 3799 8,6 8,6 9,8 6,2 7 
34 HuaweiY5Lite 569 4,6 5,6 4,6 3,4 2,6 
35 HuaweiMate20X 5285 8,4 7,6 9,9 5,5 7  
36 XiaomiRedmiGo 366 5,4 5,6 5,1 8,7 5,3
37 LenovoK8Plus 649 7,5 8,6 5,9 9,6 6,1
38 LenovoK8Note 1699 7,3 8,5 6 6,1 5,5
39 LenovoVibeC2 419 4,9 5,6 4,2 4,8 1,5 
40 LenovoVibeK6 7,2 8,6 5,5 9,2 6,2 
